dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
SwedishLeaf 45.4 28.8 11.7 27.0 70.9 26.6 26.6 28.0 21.1 22.2 19.0 86.6 22.7 22.7 38.6 21.1 63.7 45.4 74.7 22.6 8.5 12.8 44.2 25.9 12.8 15.0 12.3 44.5
Symbols 17.7 15.0 19.4 38.0 20.7 14.9 14.9 46.7 9.6 10.8 8.4 68.8 10.6 10.6 26.9 10.1 0.0 72.2 33.8 23.1 3.9 3.1 21.5 3.7 5.0 4.1 5.0 22.8
SyntheticControl 3.3 18.7 51.0 33.7 6.0 33.7 33.7 45.0 12.0 12.0 8.3 82.3 36.3 36.3 45.3 12.0 57.0 47.7 25.0 4.3 15.3 7.3 65.3 5.3 0.3 0.7 0.7 15.0
ToeSegmentation1 29.8 41.7 13.2 34.2 23.7 29.8 29.8 38.2 28.1 34.2 10.1 39.0 21.1 21.1 17.5 32.0 39.5 39.9 33.3 28.1 10.1 17.1 41.2 15.8 27.2 21.9 28.9 31.6
ToeSegmentation2 21.5 36.9 12.3 26.2 14.6 30.0 30.0 30.0 14.6 21.5 7.7 30.0 12.3 12.3 23.1 19.2 15.4 48.5 24.6 23.9 13.8 10.0 66.2 9.2 16.1 16.1 14.6 21.5
Trace 26.0 31.0 0.0 0.0 26.0 0.0 0.0 0.0 24.0 23.0 6.0 72.0 16.0 16.0 7.0 24.0 47.0 18.0 60.0 16.0 0.0 1.0 41.0 10.0 0.0 0.0 0.0 48.0
TwoLeadECG 32.1 27.1 7.1 31.0 48.5 23.1 23.1 22.7 26.5 25.6 2.2 19.4 21.2 21.2 27.0 25.3 37.7 36.3 44.2 28.8 0.6 7.8 15.3 8.4 9.6 9.6 9.6 27.5
TwoPatterns 0.0 79.6 54.9 71.1 0.1 66.8 66.8 67.1 3.9 27.1 5.5 74.8 50.0 50.0 71.3 9.3 66.2 73.5 28.9 37.9 0.1 0.0 61.3 0.5 0.0 0.0 0.0 40.4
UMD 17.4 38.2 25.0 27.8 12.5 29.9 29.9 44.4 13.2 25.0 13.2 28.5 31.9 31.9 41.7 23.6 54.9 50.0 41.7 16.7 0.7 4.9 22.2 9.7 0.7 0.7 0.7 27.8
UWaveGestureLibraryAll 10.5 13.3 39.1 71.9 4.0 71.6 71.6 82.0 4.6 5.9 5.1 77.6 30.2 30.2 71.9 5.2 60.8 83.2 5.9 11.0 5.8 4.6 58.5 12.3 5.3 8.3 5.3 6.9
UWaveGestureLibraryX 33.8 29.6 62.9 59.0 32.7 62.9 62.9 71.1 25.9 26.4 30.8 79.2 55.6 55.6 69.2 26.1 0.0 76.1 36.6 31.8 26.3 22.4 39.3 30.1 23.7 23.9 24.9 36.0
UWaveGestureLibraryY 41.7 37.4 68.6 59.0 40.8 60.6 60.6 67.1 33.4 34.2 33.4 82.0 64.5 64.5 66.0 33.8 0.0 73.0 47.6 40.3 35.8 30.9 58.3 39.1 30.7 33.3 31.2 46.0
UWaveGestureLibraryZ 43.4 38.8 0.0 0.0 37.5 0.0 0.0 0.0 35.0 35.1 33.9 81.2 0.0 55.5 0.0 0.0 0.0 0.0 0.0 38.7 33.8 31.4 44.8 34.5 31.6 32.5 33.1 0.0
Wafer 1.6 1.6 2.0 1.9 0.5 1.6 1.6 0.9 0.5 0.7 0.7 0.1 0.7 0.7 0.6 0.5 0.0 7.9 0.6 0.8 1.0 0.8 0.9 1.4 0.8 2.0 0.9 0.5
Wine 50.0 46.3 53.7 57.4 50.0 63.0 63.0 53.7 35.2 44.4 55.6 50.0 35.2 35.2 48.1 38.9 42.6 50.0 53.7 38.9 53.7 38.9 50.0 24.1 42.6 42.6 42.6 46.3
WordSynonyms 53.6 51.4 62.9 72.4 33.1 77.0 77.0 70.8 36.5 41.2 36.8 87.8 62.9 62.9 69.4 38.2 84.3 76.3 47.2 45.0 26.0 24.4 50.5 35.6 28.1 30.4 30.6 47.2
Worms 61.0 53.2 28.6 28.6 49.4 33.8 33.8 31.2 59.7 50.6 60.8 67.5 44.2 44.2 39.0 54.5 0.0 33.8 46.8 52.0 42.9 42.9 57.1 36.4 41.6 49.4 52.0 54.5
WormsTwoClass 44.2 37.7 22.1 23.4 40.3 26.0 26.0 20.8 42.9 32.5 34.3 40.3 32.5 32.5 36.4 39.0 0.0 24.7 33.8 36.4 27.3 33.8 39.0 31.2 39.0 40.3 36.4 37.7
Yoga 23.3 18.7 25.3 33.1 40.4 41.5 41.5 37.5 17.1 17.1 20.5 49.0 24.6 24.6 32.0 17.0 44.4 39.6 37.5 17.7 11.7 13.3 25.1 15.5 17.1 16.2 16.4 23.4
