dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
DodgerLoopDay 50.0 65.0 71.2 81.2 50.0 80.0 80.0 83.8 42.5 48.8 51.2 87.5 51.2 51.2 78.8 45.0 78.8 85.0 58.8 40.0 62.5 40.0 83.8 48.8 42.5 43.8 32.5 58.8
DodgerLoopGame 19.6 15.2 42.0 49.3 11.6 47.1 47.1 47.1 11.6 10.9 22.5 52.2 16.7 16.7 39.9 11.6 52.9 40.6 18.8 9.4 18.1 8.0 49.3 15.2 13.0 10.1 9.4 27.5
DodgerLoopWeekend 7.2 8.7 23.2 46.4 1.4 37.0 37.0 44.9 1.4 2.2 10.1 26.1 8.0 8.0 31.2 1.4 58.7 37.0 3.6 2.2 7.2 2.2 27.5 4.3 2.2 5.1 2.9 2.2
Earthquakes 30.9 38.8 33.1 37.4 31.6 36.0 36.0 28.8 28.8 31.7 26.7 31.7 38.1 38.1 33.1 28.8 30.9 34.5 38.8 30.9 37.4 30.2 69.8 33.8 30.2 28.8 28.1 33.1
ECG200 22.0 13.0 20.0 15.0 12.0 16.0 16.0 19.0 11.0 11.0 14.0 37.0 22.0 22.0 20.0 12.0 38.0 24.0 30.0 8.0 10.0 14.0 15.0 14.0 16.0 20.0 9.0 22.0
ECG5000 10.3 7.9 8.8 11.6 6.6 11.2 11.2 10.2 7.4 7.4 6.9 24.0 8.7 8.7 11.9 7.5 35.4 30.7 11.8 7.8 7.1 7.0 7.7 8.2 7.6 7.6 7.6 10.6
ECGFiveDays 27.3 28.9 3.0 25.6 5.7 17.4 17.4 16.7 21.5 20.7 3.5 50.1 0.1 0.1 22.9 20.3 38.3 31.6 45.6 21.2 5.7 7.9 38.3 22.5 17.0 21.1 19.3 22.6
ElectricDevices 38.6 55.8 46.0 46.3 42.5 45.6 45.5 48.3 43.0 50.8 53.8 38.5 45.6 45.5 46.3 45.1 71.7 53.2 80.5 40.7 36.8 38.8 53.0 47.5 39.3 38.2 38.1 53.2
EOGHorizontalSignal 66.0 70.7 73.8 79.0 60.5 78.2 78.2 77.1 56.4 62.2 53.3 88.1 74.0 74.0 79.0 58.3 92.3 79.0 79.6 61.0 46.4 45.0 72.9 62.4 48.9 47.2 49.2 76.5
EOGVerticalSignal 71.8 66.0 77.3 82.3 52.8 83.7 83.7 82.0 55.0 57.7 52.2 88.7 74.9 74.9 88.4 55.8 88.4 88.4 78.2 59.9 50.3 53.6 80.1 68.5 50.0 51.9 50.5 76.0
EthanolLevel 73.4 72.8 73.8 74.2 74.4 75.6 75.6 67.8 69.6 73.4 46.2 72.6 73.2 73.2 75.0 72.6 75.8 76.8 77.0 72.4 71.4 70.0 69.4 73.8 72.4 71.6 72.8 70.8
FaceAll 24.4 33.8 41.7 55.6 24.4 54.0 54.0 51.4 27.9 23.4 25.9 91.0 33.2 33.2 31.8 28.6 87.5 60.8 45.6 28.9 23.8 21.7 28.5 20.9 19.5 20.3 19.6 31.3
FaceFour 23.9 45.5 40.9 51.1 18.2 52.3 52.3 43.2 15.9 27.3 5.7 65.9 34.1 34.1 55.7 21.6 53.4 69.3 21.6 36.4 9.1 10.2 47.7 14.8 17.1 14.8 17.1 12.5
