timestamp,open,high,low,close,volume
2021-10-05,176.18,178.61,175.57,177.88,1888308.0
2021-10-06,176.63,178.55,175.52,178.4,2057792.0
2021-10-07,180.0,180.78,177.7,177.8,2878336.0
2021-10-08,177.57,178.1,176.7756,176.95,2469608.0
2021-10-11,178.02,178.6,176.2,176.28,2691224.0
2021-10-12,176.3,176.89,175.13,175.53,2155968.0
2021-10-13,175.61,178.4,175.04,177.17,2030578.0
2021-10-14,178.0,180.4,177.95,180.32,2279245.0
2021-10-15,180.69,183.0,180.68,181.94,2160823.0
2021-10-18,180.79,181.92,179.34,181.72,1753331.0
2021-10-19,182.44,182.85,181.64,182.31,1394149.0
2021-10-20,182.59,183.18,182.04,182.42,1788540.0
2021-10-21,182.85,183.03,180.52,182.12,1661082.0
2021-10-22,182.57,183.29,180.78,180.8,2630916.0
2021-10-25,180.5,182.95,179.45,182.4,2705116.0
2021-10-26,181.07,183.82,179.17,182.16,3135751.0
2021-10-27,182.27,182.34,178.08,178.24,2627051.0
2021-10-28,178.25,180.01,178.24,179.87,1944908.0
2021-10-29,179.71,180.91,178.1196,178.68,2559518.0
2021-11-01,178.53,179.74,177.51,179.58,1994450.0
2021-11-02,179.99,182.1,179.61,181.97,2208874.0
2021-11-03,181.79,182.62,179.98,182.23,1983422.0
2021-11-04,182.47,182.96,180.24,180.61,2051411.0
2021-11-05,182.12,183.82,180.95,181.8,1814463.0
2021-11-08,182.66,183.43,180.27,181.54,1856059.0
2021-11-09,181.37,182.57,180.45,181.33,1779517.0
2021-11-10,181.33,182.84,180.0,182.42,1712450.0
2021-11-11,183.01,183.04,179.51,180.21,1986950.0
2021-11-12,180.95,186.3,180.285,183.66,4395646.0
2021-11-15,184.09,185.04,182.9,183.31,1463522.0
2021-11-16,183.31,184.2,182.7,183.37,1974979.0
2021-11-17,183.37,183.87,181.63,183.34,2251139.0
2021-11-18,182.11,182.54,178.69,178.77,2534256.0
2021-11-19,179.44,180.81,178.12,179.23,2482658.0
2021-11-22,179.25,182.28,178.78,179.66,2372025.0
2021-11-23,180.61,181.32,178.65,179.46,1944392.0
2021-11-24,178.97,179.5,177.54,177.63,1488526.0
2021-11-26,174.52,176.83,173.397,175.52,1912321.0
2021-11-29,176.47,176.8299,174.98,176.23,2324735.0
2021-11-30,174.7,175.86,169.94,170.04,5340338.0
2021-12-01,172.55,174.65,170.7,170.73,3255617.0
2021-12-02,171.54,172.78,169.87,170.26,3367318.0
2021-12-03,169.9,172.91,169.1801,172.59,3019015.0
2021-12-06,174.52,178.28,174.0,177.2,3418717.0
2021-12-07,177.11,178.34,176.18,176.55,2323026.0
2021-12-08,176.5,176.83,174.43,176.04,1928066.0
2021-12-09,176.49,177.395,175.642,175.94,1758752.0
2021-12-10,177.94,177.94,176.11,177.1,1543643.0
2021-12-13,177.0,177.3681,174.41,174.58,2530053.0
2021-12-14,174.85,176.6,174.25,174.72,2327593.0
2021-12-15,175.08,176.22,173.88,175.78,2139874.0
2021-12-16,176.71,178.94,174.815,178.31,2249979.0
2021-12-17,177.86,178.32,174.34,174.75,4012672.0
2021-12-20,173.21,173.8768,170.96,172.64,1981436.0
2021-12-21,173.44,173.99,172.22,172.92,1994276.0
