timestamp,open,high,low,close,volume
2021-10-05,284.0464,290.398,284.0464,288.76,24993024.0
2021-10-06,285.78,293.63,285.5093,293.11,28002559.0
2021-10-07,295.175,296.64,293.92,294.85,20430471.0
2021-10-08,296.219,296.6409,293.76,294.85,17685700.0
2021-10-11,292.92,297.97,292.745,294.23,19298634.0
2021-10-12,295.34,295.44,292.35,292.88,17974143.0
2021-10-13,294.91,297.28,293.49,296.31,23424025.0
2021-10-14,299.21,303.27,297.83,302.75,27262902.0
2021-10-15,302.34,304.45,300.5191,304.21,25384803.0
2021-10-18,303.57,308.21,302.69,307.29,22729297.0
2021-10-19,308.348,309.3,307.22,308.23,17682139.0
2021-10-20,309.21,309.7,306.11,307.41,16537069.0
2021-10-21,307.1702,311.02,306.36,310.76,16918100.0
2021-10-22,310.4,311.09,307.8,309.16,17449332.0
2021-10-25,309.36,309.4,306.46,308.13,17554469.0
2021-10-26,311.0,312.395,308.5967,310.11,28107349.0
2021-10-27,316.0,326.0973,316.0,323.17,52588690.0
2021-10-28,324.325,324.87,321.3601,324.35,26297943.0
2021-10-29,324.13,332.0,323.9,331.62,34765982.0
2021-11-01,331.355,331.49,326.37,329.37,26840400.0
2021-11-02,330.31,333.45,330.0,333.13,25719044.0
2021-11-03,333.9,334.9,330.65,334.0,21500082.0
2021-11-04,332.89,336.54,329.51,336.44,23992202.0
2021-11-05,338.51,338.79,334.4217,336.06,22570098.0
2021-11-08,337.3,337.65,334.44,336.99,20897001.0
2021-11-09,337.1071,338.72,334.53,335.95,19890003.0
2021-11-10,334.57,334.6303,329.92,330.8,25500938.0
2021-11-11,331.25,333.7746,330.51,332.43,16849844.0
2021-11-12,333.92,337.23,333.79,336.72,23484434.0
2021-11-15,337.54,337.88,334.034,336.07,16723009.0
2021-11-16,335.68,340.67,335.51,339.51,20886832.0
2021-11-17,338.94,342.19,338.0,339.12,19053380.0
2021-11-18,338.18,342.45,337.12,341.27,22463533.0
2021-11-19,342.64,345.1,342.2,343.11,21963403.0
2021-11-22,344.62,349.67,339.55,339.83,31031113.0
2021-11-23,337.05,339.45,333.56,337.68,30427563.0
2021-11-24,336.28,338.16,333.911,337.91,21661307.0
2021-11-26,334.35,337.93,328.12,329.68,24217242.0
2021-11-29,334.94,339.03,334.74,336.63,28563481.0
2021-11-30,335.32,337.78,328.99,330.59,42885609.0
2021-12-01,335.13,339.28,329.39,330.08,33401146.0
2021-12-02,330.3,333.49,327.8028,329.49,30765980.0
2021-12-03,331.99,332.7,318.03,323.01,41779279.0
2021-12-06,323.95,327.45,319.23,326.19,30032556.0
2021-12-07,331.64,335.8,330.1,334.92,31021936.0
2021-12-08,335.31,335.5,330.8,334.97,24760988.0
2021-12-09,334.41,336.489,332.12,333.1,22214158.0
2021-12-10,334.98,343.0,334.79,342.54,38095694.0
2021-12-13,340.68,343.79,339.08,339.4,28899431.0
2021-12-14,333.22,334.64,324.11,328.34,44438699.0
2021-12-15,328.61,335.19,324.5,334.65,35381122.0
2021-12-16,335.71,336.76,323.02,324.9,35034831.0
2021-12-17,320.88,324.92,317.25,323.8,47983713.0
2021-12-20,320.05,322.8,317.57,319.91,28326532.0
2021-12-21,323.29,327.73,319.8,327.29,24740597.0
2021-12-22,328.3,333.605,325.75,333.2,24831493.0
2021-12-23,332.75,336.39,332.73,334.69,19617848.0
2021-12-27,335.46,342.48,335.43,342.45,19947029.0
2021-12-28,343.15,343.81,340.32,341.25,15661467.0
2021-12-29,341.3,344.3,339.68,341.95,15041956.0
2021-12-30,341.91,343.13,338.82,339.32,15994471.0
2021-12-31,338.51,339.355,335.85,336.32,17772880.0
2022-01-03,335.35,338.0,329.78,334.75,28918013.0
2022-01-04,334.83,335.2,326.12,329.01,32674306.0
2022-01-05,325.86,326.07,315.98,316.38,40054327.0
2022-01-06,313.15,318.7,311.49,313.88,39646148.0
2022-01-07,314.15,316.5,310.09,314.04,32720018.0
2022-01-10,309.485,314.72,304.69,314.27,44289467.0
2022-01-11,313.38,316.61,309.89,314.98,29267314.0
2022-01-12,319.67,323.41,317.08,318.27,34372217.0
2022-01-13,320.4658,320.88,304.0,304.8,45365979.0
2022-01-14,304.25,310.82,303.75,310.2,39846414.0
2022-01-18,304.07,309.8,301.74,302.65,41717982.0
2022-01-19,306.29,313.9093,302.7,303.33,45485618.0
2022-01-20,309.07,311.6494,301.14,301.6,35380675.0
2022-01-21,302.685,304.11,295.61,296.03,57984403.0
2022-01-24,292.2,297.11,276.05,296.37,86035393.0
2022-01-25,291.52,294.99,285.17,288.49,72848638.0
2022-01-26,307.985,308.5,293.03,296.71,90428853.0
2022-01-27,302.66,307.3,297.93,299.84,53481317.0
2022-01-28,300.23,308.48,294.45,308.26,49743698.0
2022-01-31,308.95,312.38,306.37,310.98,46444536.0
2022-02-01,310.41,310.63,305.1293,308.76,40950396.0
2022-02-02,309.63,315.12,308.88,313.46,36635989.0
2022-02-03,309.49,311.23,299.96,301.25,43729972.0
2022-02-04,300.21,308.8,299.97,305.94,35096488.0
2022-02-07,306.17,307.84,299.9,300.95,28533286.0
2022-02-08,301.25,305.561,299.95,304.56,32421188.0
2022-02-09,309.865,311.93,307.39,311.21,31284671.0
2022-02-10,304.04,309.12,300.7,302.38,45386199.0
2022-02-11,303.19,304.29,294.22,295.04,39175620.0
2022-02-14,293.77,296.76,291.35,295.0,36359487.0
2022-02-15,300.008,300.8,297.02,300.47,27379488.0
2022-02-16,298.365,300.87,293.68,299.5,29982121.0
2022-02-17,296.36,296.8,290.0,290.73,32461580.0
2022-02-18,293.05,293.86,286.305,287.93,34264008.0
2022-02-22,285.0,291.54,284.5,287.72,41569319.0
2022-02-23,290.18,291.7,280.1,280.27,37811167.0
2022-02-24,272.51,295.16,271.52,294.59,56989686.0
2022-02-25,295.14,297.63,291.655,297.31,32546721.0
