timestamp,open,high,low,close,volume
2021-10-05,213.61,217.0499,213.61,215.72,1560184.0
2021-10-06,213.77,216.99,213.12,216.86,1736021.0
2021-10-07,218.0,219.86,217.71,218.37,1852850.0
2021-10-08,218.68,219.55,216.74,217.7,1344880.0
2021-10-11,217.38,218.22,215.26,215.29,1355214.0
2021-10-12,215.7,216.24,213.93,214.33,1383809.0
2021-10-13,215.29,216.68,212.94,215.58,1600202.0
2021-10-14,217.16,218.78,216.529,218.59,1425556.0
2021-10-15,220.3,221.45,219.2601,220.72,2180601.0
2021-10-18,218.58,221.47,217.84,220.63,1883500.0
2021-10-19,221.36,221.84,219.46,221.78,1599630.0
2021-10-20,222.23,223.69,220.83,223.64,1657049.0
2021-10-21,223.62,224.86,221.24,224.52,2649235.0
2021-10-22,222.9691,223.9,217.24,217.4,3498592.0
2021-10-25,216.81,219.0,215.645,217.54,2710431.0
2021-10-26,218.2,220.47,216.77,218.32,2443872.0
2021-10-27,218.1,218.163,215.2186,215.72,1647056.0
2021-10-28,214.38,218.7794,214.38,218.48,1947870.0
2021-10-29,218.0,220.3,217.06,218.62,2615366.0
2021-11-01,218.7,220.05,218.0747,219.76,1676065.0
2021-11-02,220.54,221.97,219.2524,221.19,2276721.0
2021-11-03,220.91,223.05,219.58,222.8,2057280.0
2021-11-04,222.67,224.84,222.08,222.49,2320165.0
2021-11-05,224.24,227.61,223.82,226.06,2329234.0
2021-11-08,227.805,228.24,224.38,225.73,1715363.0
2021-11-09,225.7003,228.26,225.35,227.75,2357575.0
2021-11-10,227.27,227.91,225.18,225.41,1324945.0
2021-11-11,225.5,225.5,220.595,221.01,1595894.0
2021-11-12,221.94,222.54,219.5,222.39,2182308.0
2021-11-15,222.63,224.0408,221.64,222.47,1207918.0
2021-11-16,222.62,223.28,221.06,221.37,1648547.0
2021-11-17,220.99,221.285,219.6039,220.49,1896561.0
2021-11-18,219.4952,220.95,219.02,220.7,1688332.0
2021-11-19,221.01,221.2,217.17,218.49,2096134.0
2021-11-22,218.33,221.05,218.03,218.14,2453069.0
2021-11-23,217.36,218.46,215.145,216.0,4021450.0
2021-11-24,215.14,215.91,211.84,212.21,3266034.0
2021-11-26,204.95,209.0,202.57,208.21,3857777.0
2021-11-29,210.21,210.21,207.0,207.66,2598424.0
2021-11-30,206.2286,206.47,201.11,202.24,5680329.0
2021-12-01,205.65,205.88,199.18,199.42,3123566.0
2021-12-02,200.955,205.45,199.5,204.0,6004852.0
2021-12-03,204.01,204.48,201.0,203.5,3545862.0
2021-12-06,205.23,208.09,204.87,206.25,4376615.0
2021-12-07,207.33,209.6,205.76,207.15,4786706.0
2021-12-08,204.84,205.33,202.5201,204.65,4997401.0
2021-12-09,204.58,207.16,202.95,206.0,4992004.0
2021-12-10,206.84,210.04,205.82,209.81,3410195.0
2021-12-13,209.8,210.75,208.6,209.23,2892303.0
2021-12-14,208.83,211.54,205.91,206.68,3790608.0
2021-12-15,207.5464,210.4,205.24,209.76,2951968.0
2021-12-16,211.25,211.28,209.3,209.61,2993212.0
2021-12-17,209.46,210.11,204.71,205.17,5586775.0
2021-12-20,202.12,202.6548,198.1,199.85,3387351.0
2021-12-21,201.15,202.78,200.31,201.67,2628177.0
2021-12-22,201.22,202.0,200.08,201.84,3111103.0
2021-12-23,203.2,206.31,203.0,205.22,2376110.0
2021-12-27,205.69,206.6399,204.9109,206.43,2486485.0
2021-12-28,206.47,208.11,206.2204,207.05,1971693.0
2021-12-29,207.91,208.04,206.46,207.53,1714622.0
2021-12-30,208.1,208.9,206.91,207.11,1273142.0
2021-12-31,206.86,209.19,206.38,208.51,1536279.0
2022-01-03,207.86,209.3499,205.56,206.8,2580319.0
2022-01-04,206.7068,209.55,205.65,209.0,3256352.0
2022-01-05,209.535,215.58,209.12,211.06,4088544.0
2022-01-06,211.8,214.35,210.62,210.82,3270381.0
2022-01-07,212.15,217.31,211.57,215.75,3056849.0
2022-01-10,215.67,216.46,211.86,213.46,3453916.0
2022-01-11,214.42,216.99,211.52,216.31,3524339.0
2022-01-12,217.49,219.19,217.35,218.25,3104952.0
2022-01-13,218.4,221.89,218.07,219.43,3082748.0
2022-01-14,217.61,217.97,215.36,217.65,3343058.0
2022-01-18,214.88,215.94,212.055,213.59,3041716.0
2022-01-19,214.41,214.77,210.6,210.73,2592527.0
2022-01-20,211.68,214.45,208.725,208.92,2568693.0
2022-01-21,209.26,209.6,204.96,205.1,4440824.0
2022-01-24,204.2,204.78,198.98,204.45,5464828.0
2022-01-25,200.71,203.79,197.91,202.3,5237794.0
2022-01-26,203.1525,205.885,198.72,200.65,3387572.0
2022-01-27,203.07,204.8284,199.26,200.65,2755006.0
2022-01-28,200.38,202.05,196.05,201.99,3392298.0
2022-01-31,200.56,204.98,199.31,204.48,3297761.0
2022-02-01,203.93,205.82,201.51,205.34,3053276.0
2022-02-02,205.42,207.84,204.64,207.55,2835943.0
2022-02-03,200.1596,201.0,191.58,191.74,8679876.0
2022-02-04,191.87,192.79,188.03,191.5,5479941.0
2022-02-07,192.15,194.59,190.81,192.48,3457837.0
2022-02-08,192.48,195.06,191.05,194.56,2735815.0
2022-02-09,196.12,197.015,194.69,196.62,3210659.0
2022-02-10,194.11,196.9684,191.02,191.75,3659592.0
2022-02-11,191.81,192.89,186.5479,186.99,5323489.0
2022-02-14,187.38,188.42,184.54,186.69,3156940.0
2022-02-15,188.18,189.93,186.53,189.53,2873460.0
2022-02-16,189.54,189.8,186.8,189.06,3085564.0
2022-02-17,187.48,187.8799,184.3,184.59,3075953.0
2022-02-18,183.93,185.06,181.39,182.13,5038397.0
2022-02-22,183.12,185.28,180.94,182.56,3983663.0
2022-02-23,183.57,183.88,178.8,178.96,3582435.0
2022-02-24,174.95,182.69,174.42,182.34,5899657.0
2022-02-25,182.1,189.52,182.07,188.56,5001199.0
