timestamp,open,high,low,close,volume
2021-10-05,272.11,273.549,271.03,271.77,4050404.0
2021-10-06,269.67,275.49,267.5,275.27,4745485.0
2021-10-07,276.9,279.5,274.085,274.58,5374204.0
2021-10-08,275.54,276.92,272.27,272.48,2683286.0
2021-10-11,271.78,276.27,271.51,273.75,2693021.0
2021-10-12,276.42,280.7496,276.0242,279.0,5970095.0
2021-10-13,280.0,285.1,278.6,284.41,6575213.0
2021-10-14,286.0,290.64,284.66,290.02,5435676.0
2021-10-15,292.49,292.87,289.32,291.66,5119331.0
2021-10-18,290.78,293.25,288.71,291.7,5163348.0
2021-10-19,292.1,295.53,291.36,292.34,3631164.0
2021-10-20,293.11,295.41,287.95,290.09,4487918.0
2021-10-21,289.47,291.5741,288.27,289.81,2828499.0
2021-10-22,289.0,293.0,288.18,292.56,2927049.0
2021-10-25,293.3,295.13,291.72,293.92,2993500.0
2021-10-26,295.78,298.36,293.62,295.11,3601447.0
2021-10-27,296.53,299.19,295.09,295.15,3742741.0
2021-10-28,295.07,298.8099,293.53,298.38,3450407.0
2021-10-29,298.0,300.78,296.27,299.69,4251850.0
2021-11-01,301.5,304.86,299.72,302.76,3778241.0
2021-11-02,301.72,303.44,299.41,302.95,4090926.0
2021-11-03,303.95,303.95,298.19,302.89,3260169.0
2021-11-04,303.5,308.41,302.4,308.04,3833787.0
2021-11-05,308.5,311.4,303.34,307.25,4681990.0
2021-11-08,307.2,311.39,305.9001,309.96,3893014.0
2021-11-09,310.0,311.75,307.22,309.71,3113169.0
2021-11-10,306.57,308.59,297.885,299.67,4350924.0
2021-11-11,301.5,305.75,301.5,302.98,2681892.0
2021-11-12,304.5,307.22,301.63,306.65,3777942.0
2021-11-15,306.9,307.76,303.23,305.49,3595625.0
2021-11-16,304.08,307.58,302.721,307.09,2989383.0
2021-11-17,307.78,309.9,307.25,308.02,3864656.0
2021-11-18,306.16,306.99,299.58,302.99,4444339.0
2021-11-19,305.71,306.0,301.1,301.17,4758869.0
2021-11-22,301.84,305.49,296.72,296.84,4476157.0
2021-11-23,293.65,296.47,288.31,291.42,6432469.0
2021-11-24,286.04,289.4499,283.2,289.17,5091437.0
2021-11-26,284.5,287.57,283.04,284.21,4195279.0
2021-11-29,289.52,298.39,284.7,296.74,8215565.0
2021-11-30,296.19,299.27,283.4,284.96,13597638.0
2021-12-01,271.26,276.94,251.46,251.5,30744431.0
2021-12-02,252.82,262.58,252.1401,261.2,12200786.0
2021-12-03,261.55,261.75,251.7,258.32,8944026.0
2021-12-06,256.1,259.23,250.71,258.75,7122951.0
2021-12-07,265.47,270.23,263.6,266.99,7401230.0
2021-12-08,268.31,268.5,264.57,266.31,4586480.0
2021-12-09,266.04,266.68,262.64,264.32,3966956.0
2021-12-10,266.1,270.57,264.44,266.03,3480091.0
2021-12-13,265.8,270.56,264.61,265.76,3625721.0
2021-12-14,262.0,262.15,253.3,255.59,7227339.0
2021-12-15,254.85,260.19,251.9,260.04,6484942.0
2021-12-16,260.0,261.3499,252.22,253.12,6556672.0
2021-12-17,251.24,253.9,246.79,252.93,12170272.0
2021-12-20,249.89,251.54,246.5,247.21,5580059.0
2021-12-21,248.0,253.01,245.25,252.55,5428209.0
2021-12-22,253.42,254.26,249.51,252.8,4982392.0
2021-12-23,251.23,254.31,249.335,253.14,3769478.0
2021-12-27,253.39,258.43,253.24,258.3,3532542.0
2021-12-28,259.73,260.78,254.938,255.45,3296365.0
2021-12-29,256.0,256.43,253.12,254.54,2592745.0
2021-12-30,255.3,257.9,254.46,255.33,2950573.0
2021-12-31,254.47,256.49,253.63,254.13,3108655.0
2022-01-03,255.01,256.7,248.65,255.46,4318489.0
2022-01-04,256.85,256.87,243.395,248.23,7240729.0
2022-01-05,236.17,238.2,227.31,227.67,18882465.0
2022-01-06,228.04,234.48,226.0532,229.15,9376094.0
2022-01-07,228.5,232.28,226.05,228.31,6286718.0
2022-01-10,225.5,229.83,218.89,229.63,7803784.0
2022-01-11,228.8,236.35,226.56,234.84,7624430.0
2022-01-12,237.0,239.28,235.76,237.83,6718884.0
2022-01-13,237.5,238.79,227.92,228.63,6680317.0
2022-01-14,228.03,233.29,227.6074,231.23,5805137.0
2022-01-18,228.45,230.73,225.3,226.06,5973367.0
2022-01-19,227.47,232.21,226.17,226.27,5264560.0
2022-01-20,229.07,231.4,222.49,222.94,5663652.0
2022-01-21,223.06,224.77,218.25,218.63,9128418.0
2022-01-24,212.39,223.38,207.51,223.03,11674760.0
2022-01-25,221.0,223.9,214.67,215.39,9092713.0
2022-01-26,219.61,221.46,209.07,211.0,10029562.0
2022-01-27,214.08,223.15,212.06,212.74,9468583.0
2022-01-28,214.3,222.29,210.88,222.13,8254892.0
2022-01-31,222.95,232.91,222.26,232.63,7084216.0
2022-02-01,232.37,232.78,226.32,232.12,6387115.0
2022-02-02,233.74,234.49,223.0169,225.01,9378866.0
2022-02-03,218.07,220.7909,210.4,212.77,12826597.0
2022-02-04,214.99,221.67,213.19,219.23,6176474.0
2022-02-07,219.0,221.44,216.66,216.97,3922259.0
2022-02-08,215.6,217.94,212.15,217.43,5628683.0
2022-02-09,221.14,222.19,215.57,222.04,6107708.0
2022-02-10,217.7,221.99,215.81,217.67,5312607.0
2022-02-11,217.62,219.93,206.1121,207.9,8165623.0
2022-02-14,205.8,209.9,204.63,206.4,7005942.0
2022-02-15,209.75,214.57,208.52,214.25,6355740.0
2022-02-16,211.0,212.42,208.21,211.74,7072715.0
2022-02-17,208.33,209.75,199.5,200.03,8820050.0
2022-02-18,200.4,202.6,195.79,196.84,6691812.0
2022-02-22,195.53,201.46,193.525,195.13,7789271.0
2022-02-23,196.35,199.0,190.13,190.54,7784294.0
2022-02-24,184.74,204.9,184.44,204.29,11792612.0
2022-02-25,204.724,208.4674,201.61,208.09,5853614.0
